Title,Interviewer,Content
2023: Poetry's Year in Prose,By The Editors,"A reading list of our 2023 features. How Robert Frost made poetry modern. Christian Wiman'sZero at the Boneblends memoir and theology, criticism and poetry into a mystical commonplace book for Armageddon. Modernism at the 1913 Armory Show Architecture and Planning in Chicago Harriet Monroe on the Artist’s Audience A new biography of Jane Kenyon frees the poet from the shadow of her famous older husband. Brian Teare'sPoem Bitten by a Manis a hybrid book that presses language into and against visual art. A new edition of Tomas Tranströmer’s collected works showcases his wild associative leaps. Four hundred unruly, obsessive, baffling years of Shakespeare’s First Folio."
Following the Impulse of the Brush,By Arthur Sze,"A conversation with Kimiko Hahn, winner of the 2023 Ruth Lilly Poetry Prize. Stephanie McCarter on her feminist translation of Ovid. The DeafBlind poet John Lee Clark finds his native language. Will Alexander on poetry, consciousness, and the energy of language. A year before the 1992 LA Uprising, a Black teenager named Latasha Harlins was killed in a corner store.Concentrate, Courtney Faye Taylor’s debut, revisits that tragedy—and the life that... Alice Notley on her life with Ted Berrigan. Rio Cortez on Afropioneerism out West. A conversation with Adrian Matejka,Poetry’s new editor. Garrett Caples wrestles with “the impervious world” in his latest collection,Lovers of Today. A conversation with Patricia Smith, winner of the 2021 Ruth Lilly Poetry Prize."
"Harriet Monroe, Art Critic",By Mark Pohlad,"Reading the visual in theChicago Daily Tribune Gjertrud Schnackenberg’s best poems play form against theme, and then some. Bianca Stone, Ruth Stone’s granddaughter, charts her own poetic territory Leigh Stein’s blinkering, connected verse Omar Pérez is an island unto himself. A doctor’s grim prognosis gave Timothy Donnelly a new outlook on life—and poetry. Martín Espada looks for poetic life outside the MFA universe. The surrealist adventurer of Stockton, California. Can two women write like one man? Tacoma, Washington's reclusive genius."
2023: Poetry's Year in Prose,By The Editors,"A reading list of our 2023 features. How Robert Frost made poetry modern. Christian Wiman'sZero at the Boneblends memoir and theology, criticism and poetry into a mystical commonplace book for Armageddon. Reading the visual in theChicago Daily Tribune"
2023: Poetry's Year in Prose,By The Editors,"A reading list of our 2023 features. How Robert Frost made poetry modern. Christian Wiman'sZero at the Boneblends memoir and theology, criticism and poetry into a mystical commonplace book for Armageddon. Modernism at the 1913 Armory Show Architecture and Planning in Chicago Harriet Monroe on the Artist’s Audience A new biography of Jane Kenyon frees the poet from the shadow of her famous older husband. Brian Teare'sPoem Bitten by a Manis a hybrid book that presses language into and against visual art. A new edition of Tomas Tranströmer’s collected works showcases his wild associative leaps. Four hundred unruly, obsessive, baffling years of Shakespeare’s First Folio."
Following the Impulse of the Brush,By Arthur Sze,"A conversation with Kimiko Hahn, winner of the 2023 Ruth Lilly Poetry Prize. Stephanie McCarter on her feminist translation of Ovid. The DeafBlind poet John Lee Clark finds his native language. Will Alexander on poetry, consciousness, and the energy of language. A year before the 1992 LA Uprising, a Black teenager named Latasha Harlins was killed in a corner store.Concentrate, Courtney Faye Taylor’s debut, revisits that tragedy—and the life that... Alice Notley on her life with Ted Berrigan. Rio Cortez on Afropioneerism out West. A conversation with Adrian Matejka,Poetry’s new editor. Garrett Caples wrestles with “the impervious world” in his latest collection,Lovers of Today. A conversation with Patricia Smith, winner of the 2021 Ruth Lilly Poetry Prize."
"Harriet Monroe, Art Critic",By Mark Pohlad,"Reading the visual in theChicago Daily Tribune Gjertrud Schnackenberg’s best poems play form against theme, and then some. Bianca Stone, Ruth Stone’s granddaughter, charts her own poetic territory Leigh Stein’s blinkering, connected verse Omar Pérez is an island unto himself. A doctor’s grim prognosis gave Timothy Donnelly a new outlook on life—and poetry. Martín Espada looks for poetic life outside the MFA universe. The surrealist adventurer of Stockton, California. Can two women write like one man? Tacoma, Washington's reclusive genius."
2023: Poetry's Year in Prose,By The Editors,"A reading list of our 2023 features. How Robert Frost made poetry modern. Christian Wiman'sZero at the Boneblends memoir and theology, criticism and poetry into a mystical commonplace book for Armageddon. Reading the visual in theChicago Daily Tribune"
2023: Poetry's Year in Prose,By The Editors,"A reading list of our 2023 features. How Robert Frost made poetry modern. Christian Wiman'sZero at the Boneblends memoir and theology, criticism and poetry into a mystical commonplace book for Armageddon. Reading the visual in theChicago Daily Tribune"
2023: Poetry's Year in Prose,By The Editors,"A reading list of our 2023 features. How Robert Frost made poetry modern. Christian Wiman'sZero at the Boneblends memoir and theology, criticism and poetry into a mystical commonplace book for Armageddon. Modernism at the 1913 Armory Show Architecture and Planning in Chicago Harriet Monroe on the Artist’s Audience A new biography of Jane Kenyon frees the poet from the shadow of her famous older husband. Brian Teare'sPoem Bitten by a Manis a hybrid book that presses language into and against visual art. A new edition of Tomas Tranströmer’s collected works showcases his wild associative leaps. Four hundred unruly, obsessive, baffling years of Shakespeare’s First Folio."
Following the Impulse of the Brush,By Arthur Sze,"A conversation with Kimiko Hahn, winner of the 2023 Ruth Lilly Poetry Prize. Stephanie McCarter on her feminist translation of Ovid. The DeafBlind poet John Lee Clark finds his native language. Will Alexander on poetry, consciousness, and the energy of language. A year before the 1992 LA Uprising, a Black teenager named Latasha Harlins was killed in a corner store.Concentrate, Courtney Faye Taylor’s debut, revisits that tragedy—and the life that... Alice Notley on her life with Ted Berrigan. Rio Cortez on Afropioneerism out West. A conversation with Adrian Matejka,Poetry’s new editor. Garrett Caples wrestles with “the impervious world” in his latest collection,Lovers of Today. A conversation with Patricia Smith, winner of the 2021 Ruth Lilly Poetry Prize."
"Harriet Monroe, Art Critic",By Mark Pohlad,"Reading the visual in theChicago Daily Tribune Gjertrud Schnackenberg’s best poems play form against theme, and then some. Bianca Stone, Ruth Stone’s granddaughter, charts her own poetic territory Leigh Stein’s blinkering, connected verse Omar Pérez is an island unto himself. A doctor’s grim prognosis gave Timothy Donnelly a new outlook on life—and poetry. Martín Espada looks for poetic life outside the MFA universe. The surrealist adventurer of Stockton, California. Can two women write like one man? Tacoma, Washington's reclusive genius."
Kimiko Hahn: Selections,By Amy Wright,"Poems by a poet-scientist Poems by an interdisciplinary writer and performer Work by the Rocker, Poet, Activist, and Literary Trendsetter Interventionist Poet and Performer of (Soma)tic Poetry Ritual Poems by a legendary Chicago poet, playwright, and novelist Poems from an architect of the Black Arts Movement Reading the work of Philadelphia’s first poet laureate “Emotionally scathing” poems by this radical poet of the unsaid A poet and translator enriching the mind and spirit The personal, political writing of a poetry icon"
Editor’s Note,By Adrian Matejka,An introduction to our June Jordan folio.
Margaret Walker’s “For My People”,By CM Burroughs,"There is lightness within these downtrodden lives! What does it mean if a poem is “neither pro nor con abortion”? A hymn to female independence in the form of a withering critique of marriage Who are all these people? Where is this waste land they inhabit? What is this chaos of impressions we are privy to? Wherefore such madness? Are these pieces translations, inventions, or interventions that add to a story that has been lost to us? A queer childhood and the demand to “sound straight.” When polite prejudice makes for scathing satire. A letter, a list, a sonnet, and the state of a nation. Bridging two languages and generations in one intricate poem. This short poem about dreams is one of the most influential poems of the 20th century."
